"train/timestep","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - _step","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - train/reward","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - _step","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - train/reward","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - _step","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - train/reward","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - _step","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - train/reward","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - _step","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - train/reward","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - _step","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - train/reward","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - _step","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - train/reward","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - _step","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - train/reward","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - _step","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - train/reward","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - _step","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - train/reward","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - _step","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - train/reward","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - _step","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - train/reward","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - train/reward__MAX"
"10000","10","10","10","-1.058338","-1.058338","-1.058338","10","10","10","-1.0607714","-1.0607714","-1.0607714","10","10","10","-0.9886868","-0.9886868","-0.9886868","10","10","10","-1.1163112","-1.1163112","-1.1163112","10","10","10","-1.2243494","-1.2243494","-1.2243494","10","10","10","-0.9105488000000002","-0.9105488000000002","-0.9105488000000002","10","10","10","-0.2377768","-0.2377768","-0.2377768","10","10","10","-0.278848","-0.278848","-0.278848","10","10","10","-0.39788100000000004","-0.39788100000000004","-0.39788100000000004","10","10","10","-0.14516779999999999","-0.14516779999999999","-0.14516779999999999","10","10","10","-0.3797716","-0.3797716","-0.3797716","10","10","10","-0.3077078","-0.3077078","-0.3077078"
"11000","11","11","11","-1.6428806000000002","-1.6428806000000002","-1.6428806000000002","11","11","11","-1.6668616","-1.6668616","-1.6668616","11","11","11","-1.9234586","-1.9234586","-1.9234586","11","11","11","-1.8595202","-1.8595202","-1.8595202","11","11","11","-1.904461","-1.904461","-1.904461","11","11","11","-1.8544158","-1.8544158","-1.8544158","11","11","11","-0.5307626","-0.5307626","-0.5307626","11","11","11","-0.5433199999999999","-0.5433199999999999","-0.5433199999999999","11","11","11","-0.4970548","-0.4970548","-0.4970548","11","11","11","-0.46407620000000005","-0.46407620000000005","-0.46407620000000005","11","11","11","-0.5239554","-0.5239554","-0.5239554","11","11","11","-0.446948","-0.446948","-0.446948"
"12000","12","12","12","-1.569744","-1.569744","-1.569744","12","12","12","-1.5059141999999999","-1.5059141999999999","-1.5059141999999999","12","12","12","-1.5464164","-1.5464164","-1.5464164","12","12","12","-1.3363906","-1.3363906","-1.3363906","12","12","12","-1.5133128","-1.5133128","-1.5133128","12","12","12","-1.398913","-1.398913","-1.398913","12","12","12","-1.061234","-1.061234","-1.061234","12","12","12","-0.9761890000000001","-0.9761890000000001","-0.9761890000000001","12","12","12","-1.0360364","-1.0360364","-1.0360364","12","12","12","-0.8104362","-0.8104362","-0.8104362","12","12","12","-1.0396604","-1.0396604","-1.0396604","12","12","12","-0.9779354","-0.9779354","-0.9779354"
"13000","13","13","13","-1.4400204","-1.4400204","-1.4400204","13","13","13","-1.6928206","-1.6928206","-1.6928206","13","13","13","-1.6664378","-1.6664378","-1.6664378","13","13","13","-1.5436071999999998","-1.5436071999999998","-1.5436071999999998","13","13","13","-1.7254383999999998","-1.7254383999999998","-1.7254383999999998","13","13","13","-1.6547882","-1.6547882","-1.6547882","13","13","13","-1.167505","-1.167505","-1.167505","13","13","13","-0.8840472","-0.8840472","-0.8840472","13","13","13","-1.0046316","-1.0046316","-1.0046316","13","13","13","-1.0379916","-1.0379916","-1.0379916","13","13","13","-1.1797514","-1.1797514","-1.1797514","13","13","13","-1.0104098000000001","-1.0104098000000001","-1.0104098000000001"
"14000","14","14","14","-2.020354","-2.020354","-2.020354","14","14","14","-2.0187638","-2.0187638","-2.0187638","14","14","14","-1.9701594","-1.9701594","-1.9701594","14","14","14","-2.055762","-2.055762","-2.055762","14","14","14","-2.2146388000000004","-2.2146388000000004","-2.2146388000000004","14","14","14","-1.8758381999999998","-1.8758381999999998","-1.8758381999999998","14","14","14","-1.6626863999999997","-1.6626863999999997","-1.6626863999999997","14","14","14","-1.5518318","-1.5518318","-1.5518318","14","14","14","-1.792589","-1.792589","-1.792589","14","14","14","-1.5788407999999998","-1.5788407999999998","-1.5788407999999998","14","14","14","-1.7471846","-1.7471846","-1.7471846","14","14","14","-1.7785658000000002","-1.7785658000000002","-1.7785658000000002"
"15000","15","15","15","-1.6471188","-1.6471188","-1.6471188","15","15","15","-1.5227602","-1.5227602","-1.5227602","15","15","15","-1.6334989999999998","-1.6334989999999998","-1.6334989999999998","15","15","15","-1.5651088","-1.5651088","-1.5651088","15","15","15","-1.82692","-1.82692","-1.82692","15","15","15","-1.558665","-1.558665","-1.558665","15","15","15","-1.2012354","-1.2012354","-1.2012354","15","15","15","-1.25047","-1.25047","-1.25047","15","15","15","-1.2179674","-1.2179674","-1.2179674","15","15","15","-1.3120553999999998","-1.3120553999999998","-1.3120553999999998","15","15","15","-1.2394604","-1.2394604","-1.2394604","15","15","15","-1.3125654","-1.3125654","-1.3125654"
"16000","16","16","16","2.3664646","2.3664646","2.3664646","16","16","16","3.2412910000000004","3.2412910000000004","3.2412910000000004","16","16","16","2.6221252","2.6221252","2.6221252","16","16","16","-2.119515","-2.119515","-2.119515","16","16","16","4.2281184","4.2281184","4.2281184","16","16","16","2.8233836","2.8233836","2.8233836","16","16","16","-2.0282712","-2.0282712","-2.0282712","16","16","16","-1.7066409999999999","-1.7066409999999999","-1.7066409999999999","16","16","16","-2.1798718","-2.1798718","-2.1798718","16","16","16","-2.0210524","-2.0210524","-2.0210524","16","16","16","-1.877762","-1.877762","-1.877762","16","16","16","-2.0624738000000002","-2.0624738000000002","-2.0624738000000002"
"17000","17","17","17","7.1853442","7.1853442","7.1853442","17","17","17","10.893233599999999","10.893233599999999","10.893233599999999","17","17","17","11.708614","11.708614","11.708614","17","17","17","4.407135","4.407135","4.407135","17","17","17","10.486133200000001","10.486133200000001","10.486133200000001","17","17","17","12.4341576","12.4341576","12.4341576","17","17","17","10.0920578","10.0920578","10.0920578","17","17","17","6.9287048","6.9287048","6.9287048","17","17","17","6.2856352","6.2856352","6.2856352","17","17","17","4.9697392","4.9697392","4.9697392","17","17","17","-1.3732815999999999","-1.3732815999999999","-1.3732815999999999","17","17","17","6.9191915999999996","6.9191915999999996","6.9191915999999996"
"18000","18","18","18","11.854912200000001","11.854912200000001","11.854912200000001","18","18","18","12.0338978","12.0338978","12.0338978","18","18","18","13.590979800000003","13.590979800000003","13.590979800000003","18","18","18","6.7976984","6.7976984","6.7976984","18","18","18","15.470568600000002","15.470568600000002","15.470568600000002","18","18","18","11.2468404","11.2468404","11.2468404","18","18","18","11.656939000000001","11.656939000000001","11.656939000000001","18","18","18","10.155391","10.155391","10.155391","18","18","18","5.4602236","5.4602236","5.4602236","18","18","18","12.0744482","12.0744482","12.0744482","18","18","18","6.4093836","6.4093836","6.4093836","18","18","18","10.342514599999998","10.342514599999998","10.342514599999998"
"19000","19","19","19","16.821326000000003","16.821326000000003","16.821326000000003","19","19","19","13.3302742","13.3302742","13.3302742","19","19","19","33.2629256","33.2629256","33.2629256","19","19","19","11.076107400000001","11.076107400000001","11.076107400000001","19","19","19","17.850584199999997","17.850584199999997","17.850584199999997","19","19","19","16.0075332","16.0075332","16.0075332","19","19","19","9.500408400000001","9.500408400000001","9.500408400000001","19","19","19","10.3604662","10.3604662","10.3604662","19","19","19","6.9152568","6.9152568","6.9152568","19","19","19","9.3967438","9.3967438","9.3967438","19","19","19","6.434487999999999","6.434487999999999","6.434487999999999","19","19","19","8.8794024","8.8794024","8.8794024"
"20000","20","20","20","13.5067856","13.5067856","13.5067856","20","20","20","12.591582599999999","12.591582599999999","12.591582599999999","20","20","20","27.302450399999998","27.302450399999998","27.302450399999998","20","20","20","8.5661626","8.5661626","8.5661626","20","20","20","16.7264272","16.7264272","16.7264272","20","20","20","20.6877582","20.6877582","20.6877582","20","20","20","7.354456400000001","7.354456400000001","7.354456400000001","20","20","20","10.19309","10.19309","10.19309","20","20","20","8.336056","8.336056","8.336056","20","20","20","8.919865399999999","8.919865399999999","8.919865399999999","20","20","20","9.1627838","9.1627838","9.1627838","20","20","20","9.028044600000001","9.028044600000001","9.028044600000001"
"21000","21","21","21","19.7120486","19.7120486","19.7120486","21","21","21","13.095244","13.095244","13.095244","21","21","21","35.6751576","35.6751576","35.6751576","21","21","21","11.639214400000002","11.639214400000002","11.639214400000002","21","21","21","18.8308962","18.8308962","18.8308962","21","21","21","14.009391399999998","14.009391399999998","14.009391399999998","21","21","21","13.2385744","13.2385744","13.2385744","21","21","21","13.9525174","13.9525174","13.9525174","21","21","21","7.0167902","7.0167902","7.0167902","21","21","21","13.458920599999999","13.458920599999999","13.458920599999999","21","21","21","5.707157199999999","5.707157199999999","5.707157199999999","21","21","21","15.09721","15.09721","15.09721"
"22000","22","22","22","32.9844044","32.9844044","32.9844044","22","22","22","12.049655999999999","12.049655999999999","12.049655999999999","22","22","22","28.018943","28.018943","28.018943","22","22","22","10.6367784","10.6367784","10.6367784","22","22","22","7.1199243999999995","7.1199243999999995","7.1199243999999995","22","22","22","16.875186000000003","16.875186000000003","16.875186000000003","22","22","22","8.3341158","8.3341158","8.3341158","22","22","22","3.2313442","3.2313442","3.2313442","22","22","22","6.620975400000001","6.620975400000001","6.620975400000001","22","22","22","12.2852706","12.2852706","12.2852706","22","22","22","10.500110000000001","10.500110000000001","10.500110000000001","22","22","22","10.3996468","10.3996468","10.3996468"
"23000","23","23","23","22.9829454","22.9829454","22.9829454","23","23","23","16.810154","16.810154","16.810154","23","23","23","18.4997916","18.4997916","18.4997916","23","23","23","6.4672822","6.4672822","6.4672822","23","23","23","7.693344400000001","7.693344400000001","7.693344400000001","23","23","23","9.5684174","9.5684174","9.5684174","23","23","23","13.407993199999998","13.407993199999998","13.407993199999998","23","23","23","13.4024946","13.4024946","13.4024946","23","23","23","11.6032252","11.6032252","11.6032252","23","23","23","20.7149276","20.7149276","20.7149276","23","23","23","15.8358778","15.8358778","15.8358778","23","23","23","12.0960374","12.0960374","12.0960374"
"24000","24","24","24","18.818858","18.818858","18.818858","24","24","24","37.1973124","37.1973124","37.1973124","24","24","24","24.769911","24.769911","24.769911","24","24","24","0.3633496","0.3633496","0.3633496","24","24","24","1.3643486","1.3643486","1.3643486","24","24","24","7.7280096","7.7280096","7.7280096","24","24","24","7.5581952","7.5581952","7.5581952","24","24","24","11.527043","11.527043","11.527043","24","24","24","6.687535","6.687535","6.687535","24","24","24","13.8544588","13.8544588","13.8544588","24","24","24","12.620110200000001","12.620110200000001","12.620110200000001","24","24","24","6.747555799999999","6.747555799999999","6.747555799999999"
