"train/timestep","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_5678 - _step","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_5678 - _step__MIN","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_5678 - _step__MAX","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_5678 - train/reward","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_5678 - train/reward__MIN","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_5678 - train/reward__MAX","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_5678 - _step","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_5678 - _step__MIN","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_5678 - _step__MAX","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_5678 - train/reward","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_5678 - train/reward__MIN","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_5678 - train/reward__MAX","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_5678 - _step","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_5678 - _step__MIN","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_5678 - _step__MAX","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_5678 - train/reward","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_5678 - train/reward__MIN","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_5678 - train/reward__MAX","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_5678 - _step","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_5678 - _step__MIN","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_5678 - _step__MAX","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_5678 - train/reward","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_5678 - train/reward__MIN","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_5678 - train/reward__MAX","GAIL_TRPO_training_0_to_1000_HalfCheetah-v4_5678 - _step","GAIL_TRPO_training_0_to_1000_HalfCheetah-v4_5678 - _step__MIN","GAIL_TRPO_training_0_to_1000_HalfCheetah-v4_5678 - _step__MAX","GAIL_TRPO_training_0_to_1000_HalfCheetah-v4_5678 - train/reward","GAIL_TRPO_training_0_to_1000_HalfCheetah-v4_5678 - train/reward__MIN","GAIL_TRPO_training_0_to_1000_HalfCheetah-v4_5678 - train/reward__MAX","GAIL_TRPO_training_neg_inf_to_0_HalfCheetah-v4_5678 - _step","GAIL_TRPO_training_neg_inf_to_0_HalfCheetah-v4_5678 - _step__MIN","GAIL_TRPO_training_neg_inf_to_0_HalfCheetah-v4_5678 - _step__MAX","GAIL_TRPO_training_neg_inf_to_0_HalfCheetah-v4_5678 - train/reward","GAIL_TRPO_training_neg_inf_to_0_HalfCheetah-v4_5678 - train/reward__MIN","GAIL_TRPO_training_neg_inf_to_0_HalfCheetah-v4_5678 - train/reward__MAX","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_4567 - _step","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_4567 - _step__MIN","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_4567 - _step__MAX","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_4567 - train/reward","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_4567 - train/reward__MIN","GAIL_TRPO_training_6000_to_7000_HalfCheetah-v4_4567 - train/reward__MAX","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_4567 - _step","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_4567 - _step__MIN","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_4567 - _step__MAX","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_4567 - train/reward","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_4567 - train/reward__MIN","GAIL_TRPO_training_5000_to_6000_HalfCheetah-v4_4567 - train/reward__MAX","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_4567 - _step","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_4567 - _step__MIN","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_4567 - _step__MAX","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_4567 - train/reward","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_4567 - train/reward__MIN","GAIL_TRPO_training_3000_to_5000_HalfCheetah-v4_4567 - train/reward__MAX","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_4567 - _step","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_4567 - _step__MIN","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_4567 - _step__MAX","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_4567 - train/reward","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_4567 - train/reward__MIN","GAIL_TRPO_training_1000_to_3000_HalfCheetah-v4_4567 - train/reward__MAX"
"200000","10","10","10","-233.76902680000003","-233.76902680000003","-233.76902680000003","10","10","10","-204.236294","-204.236294","-204.236294","10","10","10","-208.10462859999998","-208.10462859999998","-208.10462859999998","10","10","10","-76.89185439999999","-76.89185439999999","-76.89185439999999","10","10","10","-229.1129152","-229.1129152","-229.1129152","10","10","10","-199.9485232","-199.9485232","-199.9485232","10","10","10","130.59128679999998","130.59128679999998","130.59128679999998","10","10","10","-89.03044679999999","-89.03044679999999","-89.03044679999999","10","10","10","669.5281918000001","669.5281918000001","669.5281918000001","10","10","10","-233.75708939999998","-233.75708939999998","-233.75708939999998"
"220000","11","11","11","379.0220192","379.0220192","379.0220192","11","11","11","-202.81012700000002","-202.81012700000002","-202.81012700000002","11","11","11","-308.6837384","-308.6837384","-308.6837384","11","11","11","-86.48074740000001","-86.48074740000001","-86.48074740000001","11","11","11","-251.3375932","-251.3375932","-251.3375932","11","11","11","-190.3949854","-190.3949854","-190.3949854","11","11","11","79.08323960000003","79.08323960000003","79.08323960000003","11","11","11","-266.12259140000003","-266.12259140000003","-266.12259140000003","11","11","11","868.2372052000001","868.2372052000001","868.2372052000001","11","11","11","-226.77367959999998","-226.77367959999998","-226.77367959999998"
"240000","12","12","12","-10.623745","-10.623745","-10.623745","12","12","12","-198.3435478","-198.3435478","-198.3435478","12","12","12","-272.63649360000005","-272.63649360000005","-272.63649360000005","12","12","12","-108.7374264","-108.7374264","-108.7374264","12","12","12","-233.2442936","-233.2442936","-233.2442936","12","12","12","-179.4347698","-179.4347698","-179.4347698","12","12","12","-356.9421324","-356.9421324","-356.9421324","12","12","12","-511.4550138000001","-511.4550138000001","-511.4550138000001","12","12","12","-431.9809378","-431.9809378","-431.9809378","12","12","12","-267.47467320000004","-267.47467320000004","-267.47467320000004"
"260000","13","13","13","-16.623793799999998","-16.623793799999998","-16.623793799999998","13","13","13","-75.8712082","-75.8712082","-75.8712082","13","13","13","819.1362563999999","819.1362563999999","819.1362563999999","13","13","13","355.3513148","355.3513148","355.3513148","13","13","13","-113.413168","-113.413168","-113.413168","13","13","13","-284.1803488","-284.1803488","-284.1803488","13","13","13","-196.487626","-196.487626","-196.487626","13","13","13","-482.07155240000003","-482.07155240000003","-482.07155240000003","13","13","13","-299.5378206","-299.5378206","-299.5378206","13","13","13","-294.21393559999996","-294.21393559999996","-294.21393559999996"
"280000","14","14","14","-124.3773002","-124.3773002","-124.3773002","14","14","14","-201.40695","-201.40695","-201.40695","14","14","14","1210.2289102","1210.2289102","1210.2289102","14","14","14","-163.9130642","-163.9130642","-163.9130642","14","14","14","-128.2696582","-128.2696582","-128.2696582","14","14","14","-307.44243900000004","-307.44243900000004","-307.44243900000004","14","14","14","-198.4892426","-198.4892426","-198.4892426","14","14","14","-533.6807876","-533.6807876","-533.6807876","14","14","14","-233.1977934","-233.1977934","-233.1977934","14","14","14","-293.3151802","-293.3151802","-293.3151802"
"300000","15","15","15","-176.2749498","-176.2749498","-176.2749498","15","15","15","-251.6523686","-251.6523686","-251.6523686","15","15","15","1854.2339041999999","1854.2339041999999","1854.2339041999999","15","15","15","-244.29700039999997","-244.29700039999997","-244.29700039999997","15","15","15","-186.4223526","-186.4223526","-186.4223526","15","15","15","-307.752482","-307.752482","-307.752482","15","15","15","-325.2377506","-325.2377506","-325.2377506","15","15","15","-576.9483802","-576.9483802","-576.9483802","15","15","15","-240.10863039999998","-240.10863039999998","-240.10863039999998","15","15","15","-250.3903894","-250.3903894","-250.3903894"
"320000","16","16","16","-122.738598","-122.738598","-122.738598","16","16","16","-329.0717004","-329.0717004","-329.0717004","16","16","16","1721.0742427999999","1721.0742427999999","1721.0742427999999","16","16","16","-254.48506639999997","-254.48506639999997","-254.48506639999997","16","16","16","-193.60704019999997","-193.60704019999997","-193.60704019999997","16","16","16","-365.92321619999996","-365.92321619999996","-365.92321619999996","16","16","16","-488.7418302","-488.7418302","-488.7418302","16","16","16","-583.6212594000001","-583.6212594000001","-583.6212594000001","16","16","16","-270.4205802","-270.4205802","-270.4205802","16","16","16","-86.1423528","-86.1423528","-86.1423528"
"340000","17","17","17","-93.43258540000001","-93.43258540000001","-93.43258540000001","17","17","17","-365.9612472","-365.9612472","-365.9612472","17","17","17","592.0329669999999","592.0329669999999","592.0329669999999","17","17","17","-151.6613542","-151.6613542","-151.6613542","17","17","17","-207.32042059999998","-207.32042059999998","-207.32042059999998","17","17","17","-389.72198","-389.72198","-389.72198","17","17","17","-420.260927","-420.260927","-420.260927","17","17","17","-528.9148630000001","-528.9148630000001","-528.9148630000001","17","17","17","-305.26046499999995","-305.26046499999995","-305.26046499999995","17","17","17","224.45808499999998","224.45808499999998","224.45808499999998"
"360000","18","18","18","-92.4950878","-92.4950878","-92.4950878","18","18","18","-487.1933332","-487.1933332","-487.1933332","18","18","18","324.76981979999994","324.76981979999994","324.76981979999994","18","18","18","-119.74955900000002","-119.74955900000002","-119.74955900000002","18","18","18","-307.7599296","-307.7599296","-307.7599296","18","18","18","-358.4684932","-358.4684932","-358.4684932","18","18","18","-529.5630882","-529.5630882","-529.5630882","18","18","18","-526.7105283999999","-526.7105283999999","-526.7105283999999","18","18","18","-183.734354","-183.734354","-183.734354","18","18","18","721.180829","721.180829","721.180829"
"380000","19","19","19","-74.78038260000001","-74.78038260000001","-74.78038260000001","19","19","19","-492.41589239999996","-492.41589239999996","-492.41589239999996","19","19","19","-205.812929","-205.812929","-205.812929","19","19","19","-139.696436","-139.696436","-139.696436","19","19","19","-319.0448536","-319.0448536","-319.0448536","19","19","19","-288.2676386","-288.2676386","-288.2676386","19","19","19","-496.67779179999997","-496.67779179999997","-496.67779179999997","19","19","19","-428.285164","-428.285164","-428.285164","19","19","19","-71.5320688","-71.5320688","-71.5320688","19","19","19","-420.1372654","-420.1372654","-420.1372654"
"400000","20","20","20","-99.17054600000002","-99.17054600000002","-99.17054600000002","20","20","20","-468.22760600000004","-468.22760600000004","-468.22760600000004","20","20","20","-125.49246740000001","-125.49246740000001","-125.49246740000001","20","20","20","-163.44556719999997","-163.44556719999997","-163.44556719999997","20","20","20","-415.89460399999996","-415.89460399999996","-415.89460399999996","20","20","20","-284.2709314","-284.2709314","-284.2709314","20","20","20","-471.16462299999995","-471.16462299999995","-471.16462299999995","20","20","20","-378.0342218","-378.0342218","-378.0342218","20","20","20","-136.2383708","-136.2383708","-136.2383708","20","20","20","-473.5925556","-473.5925556","-473.5925556"
"420000","21","21","21","-67.580802","-67.580802","-67.580802","21","21","21","-370.0244148","-370.0244148","-370.0244148","21","21","21","-186.0434224","-186.0434224","-186.0434224","21","21","21","-188.5470266","-188.5470266","-188.5470266","21","21","21","-413.7827454","-413.7827454","-413.7827454","21","21","21","-238.81638980000002","-238.81638980000002","-238.81638980000002","21","21","21","-376.2973384","-376.2973384","-376.2973384","21","21","21","-327.8987556","-327.8987556","-327.8987556","21","21","21","-448.7921214","-448.7921214","-448.7921214","21","21","21","-550.9810698000001","-550.9810698000001","-550.9810698000001"
"440000","22","22","22","-77.6520158","-77.6520158","-77.6520158","22","22","22","-338.12703120000003","-338.12703120000003","-338.12703120000003","22","22","22","-224.61590700000002","-224.61590700000002","-224.61590700000002","22","22","22","-212.7636106","-212.7636106","-212.7636106","22","22","22","-314.859031","-314.859031","-314.859031","22","22","22","-245.74944019999998","-245.74944019999998","-245.74944019999998","22","22","22","-210.8096978","-210.8096978","-210.8096978","22","22","22","-315.87792640000004","-315.87792640000004","-315.87792640000004","22","22","22","-571.1054354","-571.1054354","-571.1054354","22","22","22","-614.5177682000001","-614.5177682000001","-614.5177682000001"
"460000","23","23","23","-26.560225600000003","-26.560225600000003","-26.560225600000003","23","23","23","-268.5234414","-268.5234414","-268.5234414","23","23","23","-435.8410618","-435.8410618","-435.8410618","23","23","23","-276.81617259999996","-276.81617259999996","-276.81617259999996","23","23","23","-315.0171902","-315.0171902","-315.0171902","23","23","23","-278.1202558","-278.1202558","-278.1202558","23","23","23","-48.202588","-48.202588","-48.202588","23","23","23","-254.56184359999997","-254.56184359999997","-254.56184359999997","23","23","23","-430.96275240000006","-430.96275240000006","-430.96275240000006","23","23","23","-645.2479627999999","-645.2479627999999","-645.2479627999999"
"480000","24","24","24","59.50365419999999","59.50365419999999","59.50365419999999","24","24","24","-291.8822922","-291.8822922","-291.8822922","24","24","24","-493.46759140000006","-493.46759140000006","-493.46759140000006","24","24","24","-311.040879","-311.040879","-311.040879","24","24","24","-313.3699904","-313.3699904","-313.3699904","24","24","24","-321.3227148","-321.3227148","-321.3227148","24","24","24","38.81719920000002","38.81719920000002","38.81719920000002","24","24","24","-179.95925900000003","-179.95925900000003","-179.95925900000003","24","24","24","-560.2371431999999","-560.2371431999999","-560.2371431999999","24","24","24","-641.5162806","-641.5162806","-641.5162806"
"500000","25","25","25","91.20182980000001","91.20182980000001","91.20182980000001","25","25","25","-252.87326480000002","-252.87326480000002","-252.87326480000002","25","25","25","-471.5294408000001","-471.5294408000001","-471.5294408000001","25","25","25","-377.76537360000003","-377.76537360000003","-377.76537360000003","25","25","25","-274.45112000000006","-274.45112000000006","-274.45112000000006","25","25","25","-336.0729308","-336.0729308","-336.0729308","25","25","25","98.96628559999999","98.96628559999999","98.96628559999999","25","25","25","-244.66151040000005","-244.66151040000005","-244.66151040000005","25","25","25","-372.7028666","-372.7028666","-372.7028666","25","25","25","-426.8521716","-426.8521716","-426.8521716"
"520000","26","26","26","97.20063359999999","97.20063359999999","97.20063359999999","26","26","26","-233.311713","-233.311713","-233.311713","26","26","26","-440.3470798","-440.3470798","-440.3470798","26","26","26","-426.96180699999996","-426.96180699999996","-426.96180699999996","26","26","26","-318.55236759999997","-318.55236759999997","-318.55236759999997","26","26","26","-322.73577059999997","-322.73577059999997","-322.73577059999997","26","26","26","-1.9718601999999905","-1.9718601999999905","-1.9718601999999905","26","26","26","-192.08421600000003","-192.08421600000003","-192.08421600000003","26","26","26","-386.88495059999997","-386.88495059999997","-386.88495059999997","26","26","26","-87.4848134","-87.4848134","-87.4848134"
"540000","27","27","27","35.432021799999994","35.432021799999994","35.432021799999994","27","27","27","-298.50856020000003","-298.50856020000003","-298.50856020000003","27","27","27","-317.01597580000004","-317.01597580000004","-317.01597580000004","27","27","27","-298.1135378","-298.1135378","-298.1135378","27","27","27","-316.947035","-316.947035","-316.947035","27","27","27","-275.919827","-275.919827","-275.919827","27","27","27","114.30289679999998","114.30289679999998","114.30289679999998","27","27","27","-216.6031206","-216.6031206","-216.6031206","27","27","27","-346.5189852","-346.5189852","-346.5189852","27","27","27","-384.01572219999997","-384.01572219999997","-384.01572219999997"
"560000","28","28","28","23.6734886","23.6734886","23.6734886","28","28","28","-392.23533100000003","-392.23533100000003","-392.23533100000003","28","28","28","-337.8719352","-337.8719352","-337.8719352","28","28","28","-279.2297098","-279.2297098","-279.2297098","28","28","28","-358.7210904","-358.7210904","-358.7210904","28","28","28","-238.0547602","-238.0547602","-238.0547602","28","28","28","-43.138571800000015","-43.138571800000015","-43.138571800000015","28","28","28","-196.6119338","-196.6119338","-196.6119338","28","28","28","-366.3014894","-366.3014894","-366.3014894","28","28","28","-448.67360579999996","-448.67360579999996","-448.67360579999996"
"580000","29","29","29","124.17319479999999","124.17319479999999","124.17319479999999","29","29","29","-454.2669658000001","-454.2669658000001","-454.2669658000001","29","29","29","-323.96927480000005","-323.96927480000005","-323.96927480000005","29","29","29","-137.04211619999998","-137.04211619999998","-137.04211619999998","29","29","29","-264.3305878","-264.3305878","-264.3305878","29","29","29","-139.8078114","-139.8078114","-139.8078114","29","29","29","-359.6811026","-359.6811026","-359.6811026","29","29","29","-237.0378076","-237.0378076","-237.0378076","29","29","29","-367.47825339999997","-367.47825339999997","-367.47825339999997","29","29","29","-440.324269","-440.324269","-440.324269"
